aae_text,sae_text,aae_perplexity,sae_perplexity,perplexity_difference,perplexity_ratio
Bitch cant get shit from me but bubble gum nd hard dick from me told da bitch im tryna make a flip im shootin dice wit er rent money !,She can't get anything from me except bubble gum and a hard time. I told her I'm trying to make a profit—I'm shooting dice with her rent money!,252.06883239746094,50.37016296386719,201.69866943359375,5.004328307976319
@islandboi_B yes that's what's up. Nothin like getting dressed up and getting some culture man.,"@islandboi_B Yes, that's great. There's nothing like getting dressed up and experiencing some culture, man.",162.11236572265625,99.44119262695312,62.671173095703125,1.630233522347321
Mixed huh !? Those black ass knees and elbows will give you away every time lol,"Mixed, huh!? Those very dark knees and elbows will reveal your background every time, haha.",322.64776611328125,331.24627685546875,-8.5985107421875,0.9740419399613682
"""@larrympaige @zionsays #FIGHT. People ask what do you want to be when you grow up? let's ask what did God call you to be?""","@larrympaige @zionsays #FIGHT. People ask, ""What do you want to be when you grow up?"" Let's ask, ""What did God call you to be?""",64.52681732177734,35.56049728393555,28.966320037841797,1.814564537907273
The bul Mike James from @mavs ain't shit n he dumb as shit. #nba #dallasmavs,Mike James from @mavs isn't anything and he's really stupid. #nba #dallasmavs,189.41969299316406,67.75359344482422,121.66609954833984,2.795714343142844
It took for a whole stranger to tell me he PROUD of what I'm doing n how I'm fighting for my babies!!!,It took a complete stranger to tell me he is proud of what I’m doing and how I’m fighting for my children!,64.17951202392578,16.440446853637695,47.739065170288086,3.9037571542482192
I'm the type that would walk thru the fire to check the way it burn!!!,I’m the type of person who would walk through the fire just to see how it burns!,116.81166076660156,15.387681007385254,101.42397975921631,7.591245276694928
@Smiley_Klc @Yung_410Prince yall pick on my jacket knowing damn well it was too small !!,@Smiley_Klc @Yung_410Prince You all make fun of my jacket even though you know very well it was too small!,395.9468078613281,175.32162475585938,220.62518310546875,2.2584025696356393
I want sumthn that's gonna last a life time when sumone ask how long we been together I wanna say over 30 years,"I want something that’s going to last a lifetime. When someone asks how long we’ve been together, I want to be able to say over 30 years.",63.599342346191406,7.459371566772461,56.139970779418945,8.526099253386532
Don't play wit my feelings your liable to get your ass whooped or shot if u a nigga,Don’t play with my feelings; you’re liable to get beaten up or shot if you’re a guy.,58.49686050415039,27.798994064331055,30.697866439819336,2.1042797580653407
"""@TheyLoveQuan: Except for track & school, I don't do shit with my life. Loser :P""","""@TheyLoveQuan: Other than track and school, I don't do anything with my life. Loser :P""",160.85923767089844,101.65060424804688,59.20863342285156,1.582472026220043
"""hell yeah just got that sane text lmao @JuugMan_TheShit: Phone bill due in 3 days, DAMN!""","Absolutely, I just received that same text, haha. @JuugMan_TheShit: The phone bill is due in 3 days, wow!",351.02484130859375,106.5311050415039,244.49373626708984,3.2950455284570315
whooping bitch?  I miss yall lol @PrettyBlalock: People In My 6 Period Ugh <<<<<< Stfu Dumb Bitch!,"Who are you calling a bitch? I miss you all, lol. @PrettyBlalock: The people in my sixth period class, ugh. <<<<<< Shut up, dumb bitch!",310.23095703125,75.05213165283203,235.17882537841797,4.133539583742705
"""so icy hip hop,  Waka flock music . . I dont need no metaphor this is real music!""","So icy hip hop, Waka Flocka music... I don’t need any metaphors—this is real music!",586.93505859375,82.03605651855469,504.8990020751953,7.154598642378655
"""@cstylez78 U r an awesome man, thank u 4 being so great & taking care of me. U r truly gifted w/the blessings of God & I love u so much!""","@cstylez78 You are an awesome man. Thank you for being so great and taking care of me. You are truly gifted with the blessings of God, and I love you so much!",33.8015251159668,25.07961654663086,8.721908569335938,1.347768816685023
"""Call up 2 diz skool, I should have never took my ass 2 college fuck that shit""","Call up to this school, I should have never taken myself to college. Forget that.",184.8700408935547,111.95465087890625,72.91539001464844,1.6512939787871437
@No_Bullshxt_ Lol cos I ain't got No friends and everybody I need be next to me Lol.,@No_Bullshxt_ Lol because I don't have any friends and everyone I need is right next to me. Lol.,204.8615264892578,62.813236236572266,142.04829025268555,3.261438810726004
"""Headed to work sick not feeling good , tired & alot of things on my mind like ugh""","Heading to work while sick, not feeling well, tired, and with a lot on my mind—ugh.",112.1205825805664,27.760128021240234,84.36045455932617,4.038907259173267
"""Loved da tyme i spent wit my guy dat fool kno he kept me laughing i guess thtz,all tht matters""",Loved the time I spent with my friend; that fool knows he kept me laughing. I guess that's all that matters.,178.66355895996094,43.73459243774414,134.9289665222168,4.085177179009663
Should istay or should igo bt no matter how hard itry i cant walk away,"Should I stay or should I go, but no matter how hard I try, I can't walk away.",266.9810791015625,6.215871334075928,260.7652077674866,42.95151311095354
See the moral of the story is everybody done had somebody that they ah run bck too,The moral of the story is that everyone has had someone they would run back to.,256.6916198730469,32.28363800048828,224.4079818725586,7.951136729669825
Swear iCut Everybody Off But These Tha Type Of Games You Choose To Play  Bet That Up,"I swear I cut everybody off, but these are the kinds of games you choose to play. Bet that.",655.1412353515625,69.56389617919922,585.5773391723633,9.417834125677693
As Much As iWanted Him In Ha Life iJust Cant Keep Letting Him Run In &' Out Of Ha Life,"As much as I wanted him in her life, I just can't keep letting him come in and out of her life.",195.81320190429688,10.922322273254395,184.89087963104248,17.927799327418377
"""Lately I began to feel amazing about this new energy I feel , I'm never going back to my old self!""","Recently, I’ve started to feel amazing because of this new energy I have. I’m never going back to my old self!",40.07181167602539,14.562828063964844,25.508983612060547,2.7516504005964024
man if one more of my tweets get send to draft imma be mad !!!,"Man, if one more of my tweets gets sent to drafts, I’m going to be mad!",324.4106140136719,44.260799407958984,280.1498146057129,7.329524508211578
Black Eyed Peas show NO MERCY when they do what they do...Thank God I work outside ALONE. LOL!,The Black Eyed Peas show no mercy when they perform... Thank God I work outside alone. LOL!,83.21735382080078,97.0694351196289,-13.852081298828125,0.8572971885356421
For all of you that needed some WINTER WEATHER...ENJOY!  The rest of us will just ride it out. Yall SNOW people just SAT DOWN AND HUSH!!,For all of you who wanted some winter weather...enjoy! The rest of us will just get through it. You snow lovers just sit down and be quiet!,56.318092346191406,22.225778579711914,34.09231376647949,2.5339086387551597
My Pastor is off the Chain Today!! We are plunging in!! Preach @AGMaclin!! I'M ALL IN!!,"My pastor is amazing today! We are diving in! Preach, @AGMaclin! I’m completely committed!",187.24940490722656,172.9243927001953,14.32501220703125,1.0828397427531637
Spend less time focusing on what you did wrong and more time focusing on how to never let it happen again.,Spend less time focusing on what you did wrong and more time focusing on how to make sure it never happens again.,8.504064559936523,6.843978404998779,1.6600861549377441,1.242561571165279
Dont worry....we all have our struggles.  So stop trying to put mine on Display before I kick your closet door open.,Don't worry... we all have our struggles. So stop trying to put mine on display before I open your closet door.,84.22904968261719,28.727581024169922,55.501468658447266,2.931992415642346
Love is truly blind....Sooner or later U figure that out. Ladies... Happiness might not have  six pack abs and Fellas..it might wear a wig.,"Love is truly blind... Sooner or later, you realize that. Ladies, happiness might not have six-pack abs, and gentlemen, it might wear a wig.",141.3458251953125,36.7379264831543,104.6078987121582,3.8474088966377784
Obstacles bring you closer to God. Now....see why they're necessary?? JUST REMEMBER: Your Best Is Yet To Come.,Obstacles bring you closer to God. Now... do you see why they're necessary? JUST REMEMBER: Your best is yet to come.,72.89927673339844,32.134037017822266,40.76523971557617,2.26860001104022
